Filename,82.00
T30 (s),11_C.wav,NaN
11_C_10.wav,3.98
11_C_ABS.wav,4.94
11_C_ABS2.wav,4.04
11_C_ABS3.wav,4.86
11_C_G.wav,NaN
11_C_I.wav,4.08
11_C_I_10.wav,NaN
11_C_I_G.wav,3.97
11_C_I_P.wav,3.88
11_C_P.wav,NaN
11_C_PETG.wav,4.27
11_C_PETG2.wav,NaN
11_C_PETG3.wav,4.90
11_C_PLA.wav,5.03
11_C_PLA2.wav,NaN
11_C_PLA3.wav,3.08
11_N.wav,5.90
11_N_10.wav,4.52
11_N_ABS.wav,NaN
11_N_ABS2.wav,3.99
11_N_ABS3.wav,3.79
11_N_G.wav,4.54
11_N_I.wav,4.18
11_N_I_10.wav,4.45
11_N_I_G.wav,3.01
11_N_I_P.wav,5.14
11_N_P.wav,5.56
11_N_PETG.wav,NaN
11_N_PETG2.wav,4.16
11_N_PETG3.wav,5.57
11_N_PLA.wav,4.12
11_N_PLA2.wav,NaN
11_N_PLA3.wav,4.82
3_C.wav,NaN
3_C_10.wav,NaN
3_C_ABS.wav,NaN
3_C_ABS2.wav,NaN
3_C_ABS3.wav,5.33
3_C_G.wav,5.58
3_C_I.wav,NaN
3_C_I_10.wav,5.22
3_C_I_G.wav,NaN
3_C_I_P.wav,NaN
3_C_P.wav,6.36
3_C_PETG.wav,NaN
3_C_PETG2.wav,NaN
3_C_PETG3.wav,NaN
3_C_PLA.wav,NaN
3_C_PLA2.wav,NaN
3_C_PLA3.wav,5.56
3_N.wav,NaN
3_N_10.wav,4.15
3_N_ABS.wav,5.15
3_N_ABS2.wav,NaN
3_N_ABS3.wav,5.16
3_N_G.wav,4.60
3_N_I.wav,NaN
3_N_I_10.wav,NaN
3_N_I_G.wav,4.26
3_N_I_P.wav,4.94
3_N_P.wav,NaN
3_N_PETG.wav,5.21
3_N_PETG2.wav,5.43
3_N_PETG3.wav,5.70
3_N_PLA.wav,NaN
3_N_PLA2.wav,5.31
3_N_PLA3.wav,4.43
7_C.wav,5.15
7_C_10.wav,NaN
7_C_ABS.wav,NaN
7_C_ABS2.wav,4.34
7_C_ABS3.wav,5.50
7_C_G.wav,4.39
7_C_I.wav,NaN
7_C_I_10.wav,4.16
7_C_I_G.wav,NaN
7_C_I_P.wav,NaN
7_C_P.wav,4.92
7_C_PETG.wav,4.73
7_C_PETG2.wav,4.94
7_C_PETG3.wav,4.90
7_C_PLA.wav,5.46
7_C_PLA2.wav,5.14
7_C_PLA3.wav,NaN
7_N.wav,5.26
7_N_10.wav,3.88
7_N_ABS.wav,NaN
7_N_ABS2.wav,NaN
7_N_ABS3.wav,NaN
7_N_G.wav,4.09
7_N_I.wav,NaN
7_N_I_10.wav,NaN
7_N_I_G.wav,NaN
7_N_I_P.wav,4.89
7_N_P.wav,NaN
7_N_PETG.wav,5.10
7_N_PETG2.wav,5.14
7_N_PETG3.wav,5.07
7_N_PLA.wav,5.08
7_N_PLA2.wav,5.36
7_N_PLA3.wav,5.31
